mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
21.863969167073567,5.078959878189616,0.03973801930745443,0.025643472448782317,0.8,0.1,3,100,0,1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0, 'reg_lambda': 1, 'subsample': 0.8}",0.15151515151515152,0.38202247191011235,0.3870967741935484,0.3068781325396041,0.10987774733924131,2
21.89277148246765,4.765914999488969,0.0427095095316569,0.016659534054905088,0.8,0.1,3,100,0,1,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0, 'reg_lambda': 1, 'subsample': 1.0}",0.13114754098360656,0.3181818181818182,0.36363636363636365,0.2709885742672628,0.10060869699981316,8
33.754177490870156,5.605790653927803,0.03429683049519857,0.007579475599996022,0.8,0.1,3,200,0,1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'reg_alpha': 0, 'reg_lambda': 1, 'subsample': 0.8}",0.136986301369863,0.3516483516483517,0.36065573770491804,0.2830967969077109,0.10338114247975662,4
35.271458864212036,4.976420357580775,0.024216254552205402,0.006703582660621472,0.8,0.1,3,200,0,1,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'reg_alpha': 0, 'reg_lambda': 1, 'subsample': 1.0}",0.0967741935483871,0.3010752688172043,0.3582089552238806,0.252019472529824,0.11222562694596463,11
33.409365812937416,2.8518472233036207,0.025702238082885742,0.004582279954016078,0.8,0.1,6,100,0,1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'reg_alpha': 0, 'reg_lambda': 1, 'subsample': 0.8}",0.034482758620689655,0.32941176470588235,0.3939393939393939,0.252611305755322,0.15647364216788187,10
34.46446212132772,1.8672627459040718,0.024423758188883465,0.004027203691687349,0.8,0.1,6,100,0,1,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'reg_alpha': 0, 'reg_lambda': 1, 'subsample': 1.0}",0.0625,0.2823529411764706,0.3492063492063492,0.23135309679427327,0.12247685703583493,14
45.81078894933065,4.484310668132445,0.01674310366312663,0.006056772949079303,0.8,0.1,6,200,0,1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200, 'reg_alpha': 0, 'reg_lambda': 1, 'subsample': 0.8}",0.03333333333333333,0.3409090909090909,0.36923076923076925,0.24782439782439783,0.15210816748972128,13
49.5088472366333,1.5522266594376515,0.01792319615681966,0.0058234816646097,0.8,0.1,6,200,0,1,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200, 'reg_alpha': 0, 'reg_lambda': 1, 'subsample': 1.0}",0.06153846153846154,0.3181818181818182,0.375,0.2515734265734266,0.1363623662602975,12
15.310327132542929,0.9206064683933356,0.013140519460042318,0.0012533841249690238,0.8,0.2,3,100,0,1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0, 'reg_lambda': 1, 'subsample': 0.8}",0.14084507042253522,0.3146067415730337,0.417910447761194,0.29112075325225434,0.11432409942937428,3
15.335010608037313,0.18322669105527736,0.014334758122762045,0.002793148572932476,0.8,0.2,3,100,0,1,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0, 'reg_lambda': 1, 'subsample': 1.0}",0.09836065573770492,0.3146067415730337,0.4,0.27098913243691286,0.12694735226807058,7
24.993327776590984,1.1315904868756124,0.024669408798217773,0.014786581811520066,0.8,0.2,3,200,0,1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 200, 'reg_alpha': 0, 'reg_lambda': 1, 'subsample': 0.8}",0.18666666666666668,0.32967032967032966,0.463768115942029,0.32670170409300847,0.11314566673390633,1
25.606064875920612,1.8690640665021283,0.024973630905151367,0.006084695101255821,0.8,0.2,3,200,0,1,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 200, 'reg_alpha': 0, 'reg_lambda': 1, 'subsample': 1.0}",0.06451612903225806,0.3076923076923077,0.42857142857142855,0.26692662176533144,0.15139450924094847,9
24.344220002492268,0.6645059769647456,0.02467513084411621,0.003866426694942534,0.8,0.2,6,100,0,1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 100, 'reg_alpha': 0, 'reg_lambda': 1, 'subsample': 0.8}",0.15625,0.2222222222222222,0.23728813559322035,0.20525345260514752,0.03519232124431228,16
22.095982154210407,1.9870674392008971,0.010348955790201822,0.002487677942596097,0.8,0.2,6,100,0,1,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 100, 'reg_alpha': 0, 'reg_lambda': 1, 'subsample': 1.0}",0.12307692307692308,0.2926829268292683,0.4117647058823529,0.2758415185961814,0.11845641606018047,5
